people_percent,play_time,rank,scenery_name,score
0%,,,观河体育文化公园,0
0%,,,铜滨公园,0
0%,,,小彩旗艺术馆,0
0%,,,三峡奇石根雕艺术馆,0
0%,,,太白公园,0
0%,,,黄桷湾公园,0
0%,1小时 - 2小时,,两江新区山地运动公园,0
0%,1小时 - 2小时,,壹方艺术馆,0
0%,1小时 - 2小时,,悦来滨江公园,0
0%,,,中央绿地公园,0
0%,,,国盛儿童公园,0
0%,,,石子山社区体育文化公园,0
0%,,,提多名琴艺术馆,0
0%,,,金渝郊墅公园,0
0%,,,綦岸盐运文化博物馆,0
0%,,,康庄美地社区公园,0
0%,,,大水井体育文化公园,0
0%,,,燕兴园,0
0%,2小时 - 3小时,,金山公园,0
0%,,,神女广场,0
0%,,,壹零捌美术馆,0
0%,,,重庆文联美术馆,0
0%,,,潼南蔬菜公园,0
0%,,,大足滨河公园,0
0%,,,花滩滨江公园,0
0%,,,富力金街,0
0%,1小时 - 2小时,,龙洲湾通江公园,0
0%,,,南河公园,0
0%,,,武隆桃花山公园,0
0%,,,金紫公园,0
0%,,,华夏八街,0
0%,,,双宝公园,0
0%,,,玉泉公园,0
0%,,,琅山大道公园,0
0%,1小时 - 2小时,,恐龙科普园,0
0%,,,登云公园,0
0%,,,时光里枣子岚垭步道,0
0%,,,龙景湖公园,0
0%,,,大山村公园,0
0%,1小时 - 2小时,,九鼎山公园,0
0%,,,翠云公园,0
0%,,,飞水洞水库,0
0%,1小时 - 2小时,,云阳滨江公园,0
0%,,,观音桥商圈都市旅游区,0
0%,1小时 - 2小时,,金州公园,0
0%,,,雪庵公园,0
0%,1小时 - 2小时,,东津沱滨江公园,0
0%,,,石柱土家族太白岩公园,0
0%,,,悦来会展公园,0
0%,,,彭氏宗祠,0
0%,12小时 - 3天,,长寿万顺温泉,0
0%,,,半溪河滨水公园,0
0%,,,玉马公园,0
0%,,,忠州公园,0
0%,1小时 - 2小时,,合川人民公园,0
0%,,,龙州湾滨江公园,0
0%,,,双龙湖公园,0
0%,,,璧山规划展览馆,0
0%,,,中山美术馆,0
0%,2小时 - 3小时,,三峡海洋世界,0
0%,,,大足美术馆,0
0%,,,韩国3D幻想世界体验馆,0
0%,,,重庆长江汇当代美术馆,0
0%,,,仙女山新区城市规划展览馆,0
0%,,,初恋颜色梦幻古装艺术馆,0
0%,1小时 - 2小时,,巴蜀古代建筑博物馆,0
0%,,,绣语画廊,0
0%,,,重庆奇石展览馆,0
0%,1小时 - 2小时,,开州考院,0
0%,1小时 - 2小时,,刘伯承同志纪念馆东部景区,0
0%,1小时 - 2小时,,白云观,0
0%,1小时 - 2小时,,垫江牡丹湖湿地公园,0
0%,,,日月岛芳香植物园,0
0%,,,楠竹山,0
0%,1小时 - 2小时,,山城曲艺场,0
0%,2小时 - 3小时,,开州文庙,0
0%,2小时 - 5小时,,大佛禅寺,0
0%,1小时 - 2小时,,创梦太空,0
0%,2小时 - 3小时,,水韵乡间生态园,0
0%,3小时 - 4小时,,义渡公园,0
0%,12小时 - 3天,,巫山侏罗世界游乐园,0
0%,1小时 - 2小时,,揽江公园,0
0%,1小时 - 2小时,,半山公园,0
0%,1小时 - 3小时,,原·美术馆,0
0%,,,冷水风谷森林书屋,0
0%,1小时 - 2小时,,抗建堂剧场,0
0%,1小时 - 2小时,,铜罐古镇,0
0%,,,鼓楼,0
0%,,,柏树湾公园,0
0%,,,晋愉·大岭湖公园,0
0%,,,美茵运动公园,0
0%,1小时 - 2小时,,西彭乡趣公园,0
0%,,,北山观公园,0
0%,,,观音山公园,0
0%,12小时 - 3天,,圣名蹦床乐园,0
0%,,,香山公园,0
0%,3小时 - 5小时,,重庆梁平双桂湖国家湿地公园,0
0%,1小时 - 2小时,,堡子城公园,0
0%,,,合川三佛寺,0
0%,,,滨湖公园,0
0%,1小时 - 2小时,,蓝湖郡体育公园,0
0%,1小时 - 2小时,,石井坡艺术公园,0
0%,,,维心学堂,0
0%,,,四面山少林寺,0
0%,,,山谷公园,0
0%,,,水体公园,0
0%,,,新泰桂山市民公园,0
0%,,,望贤公园,0
0%,,,光能森林公园,0
0%,,,石坪大寨,0
0%,,,岚峰森林公园,0
0%,2小时 - 3小时,,虎头岩公园,0
0%,,,走马武庙,0
0%,,,烟灯山公园,0
0%,1小时 - 2小时,,云篆寺,0
0%,1小时 - 2小时,,渝北广场,0
0%,,,凡尔赛亲子公园,0
0%,1小时 - 2小时,,红树林公园,0
0%,1小时 - 3小时,,原乡中央公园,0
0%,,,鸡尾山地质公园,0
0%,,,长嘉汇两江夜市,0
0%,2小时 - 4小时,,寸滩公园,0
0%,,,五云山寨,0
0%,,,香山别墅,0
0%,2小时 - 3小时,,斗碗寨,0
0%,,,美丽熙街步行街,0.0
0%,,,巴将军社区体育文化公园,0
0%,,,国际村公园,0
0%,2小时 - 3小时,,凤凰湖公园,0
0%,12小时 - 3天,,南平坝,0
0%,,,潼南人民生态公园,0
0%,1小时 - 2小时,,万州大河梨园风景区,0
0%,,,天池森林公园,0
0%,,,二郎山公园,0
0%,,,潼南体育公园,0
0%,2小时 - 3小时,,踏水公园,0
0%,,,中心湾文体公园,0
0%,,,南天门休闲旅游度假区地质公园,0
0%,,,江公享堂,0
0%,,,放牛坪乡村度假旅游区,0
0%,,,云树公园,0
0%,,,安澜鹭类自然保护区,0
0%,,,天子湖公园,0
0%,,,鹅公岩公园,0
0%,,,长寿湖西岸公园,0
0%,,,太极森林公园,0
0%,,,玉龙山公园,0
0%,,,中咀河樟园,0
0%,,,兰花科技展览中心,0
0%,,,黄水花诗语风景区,0
0%,1小时 - 2小时,,六店子社区公园,0
0%,,,滨江健康主题公园,0
0%,1小时 - 2小时,,重庆夏布小镇,0
0%,1小时 - 2小时,,双山晋愉公园,0
0%,,,歇凤山,0
0%,1小时 - 2小时,,火凤山公园,0
0%,3小时 - 5小时,,丰都天堂山,0
0%,,,国民政府警察局,0
0%,1小时 - 2小时,,月亮湾公园,0
0%,,,慈云老街,0
0%,,,爱情公园,0
0%,,,矿工广场,0
0%,,,人和园,0
0%,,,巴南区下涧口水库,0
0%,1小时 - 3小时,,重庆梨博园,0
0%,1小时 - 2小时,,凤凰山文化公园,0
0%,,,挺进报旧址,0
0%,,,瞿塘峡·天坑地缝,0
0%,,,文家寨,0
0%,,,红池坝天然草场,0
0%,,,石坝古街,0
0%,,,源聚老街古镇,0
0%,,,国际非遗手艺特色小镇,0
0%,,,雷家桥公园,0
0%,2小时 - 3小时,,后堡公园,0
0%,,,三峡原乡,0
0%,,,星光社区公园,0
0%,,,晚晴园,0
0%,2小时 - 3小时,,重庆梦幻星光影视城,0
0%,,,巴南天堂坝矿山公园,0
0%,,,柠檬树艺术馆,0
0%,,,1896督邮街,0
0%,,,重庆綦江地质公园,0
0%,,,龙凤溪公园,0
0%,,,水体湿地公园,0
0%,,,盛山,0
0%,,,奉节滨河公园,0
0%,1小时 - 2小时,,云顶山公园,0
0%,,,怪蛋艺术馆,0
0%,,,国会山公园,0
0%,,,含笑公园,0
0%,1小时 - 2小时,,同景公园,0
0%,1小时 - 2小时,,重庆江北嘴中央商务区滨江公园,0
0%,,,存心寨体育文化公园,0
0%,,,窑湾森林公园,2.0
0%,,,八一六公园,0
0%,,,陈抟山,0
0%,1小时 - 2小时,,观音岩公园,0
0%,1小时 - 2小时,,潼南湿地公园,0
0%,1小时 - 2小时,,万盛老街(万盛场),0
0%,1小时 - 2小时,,南山公园,0
0%,,,东华观,0
0%,,,天宫殿公园,0
0%,,,铜梁气象公园,0
0%,2小时 - 3小时,,古道湾公园,0
0%,,,栋梁河生态公园,0
0%,,,勤居村公园,0
0%,,,清代翰林旧居,0
0%,,,狮子滩大坝风景区,0
0%,,,两江龙湾公园,0
0%,,,月光草坪,0
0%,3小时 - 4小时,,凤山公园,0
0%,,,龙脊岭公园,0
0%,,,南彭水库,0
0%,1小时 - 2小时,,江边公园,0
0%,,,弹子石社区体育文化公园,0
0%,,,后山公园,0
0%,3小时 - 5小时,,兴龙湖,0
0%,1小时 - 2小时,,荣昌三矿井,0
0%,12小时 - 3天,,白鹭大庄园,0
0%,,,樱花渡公园,0
0%,,,美龄堂,0
0%,2小时 - 3小时,,磁器口名特美食街,0
0%,,,白寨子,0
0%,,,将军支路社区公园,0
0%,,,石竹山公园,0
0%,,,月亮岩公园,0
0%,,,林铁故里,0
0%,,,茅庵森林公园,0
0%,,,人和公园,0
0%,,,洪海景区,0
0%,3小时 - 4小时,,孔雀谷,0
0%,,,花漫大地四季花卉景观园,0
0%,3小时 - 4小时,,峡谷公园,0
0%,,,果塘湖公园,0
0%,,,重庆平顶山公园,0
0%,,,东水门及古城墙,0
0%,1小时 - 2小时,,桃园公园,0
0%,2小时 - 3小时,,南山中央湿地公园,0
0%,,,南阳公园,0
0%,,,见水公园,0
0%,,,望霞公园,0
0%,,,金蝶湖,0
0%,,,老街公园,0
0%,,,宝圣湖公园,0
0%,,,绿梦广场,0
0%,,,米市街,0
0%,2小时 - 3小时,,红豆杉谷景区,0
0%,,,翰林院,0
0%,1小时 - 2小时,,长寿凤山公园,0
0%,2小时 - 3小时,,故宫文物南迁纪念馆,0
0%,,,柳荫艺库,0
0%,1小时 - 2小时,,长生桥镇粮站,0
0%,,,天府可乐博物馆,0
0%,,,立德乐洋行,0
0%,,,丰盛镇响水水库,0
0%,,,赵家山体育文化公园,0
0%,,,铝镇公园,0
0%,,,佳想安善美术馆,0
0%,,,湖广填四川移民博物馆,0
0%,,,辰星艺术馆,0
0%,,,重庆美国大使馆旧址陈列馆,0
0%,,,花脸猫艺术馆,0
0%,0.5小时 - 0.7小时,,璧山文化艺术中心,0
0%,,,璧山文化展览中心,0
0%,,,维岸画廊,0
0%,2小时 - 3小时,,重庆巴人博物馆,0
0%,,,人类生命与健康博物馆,0
0%,1小时 - 2小时,,巴渝文化博物馆,4.3
0%,,,重庆渝北历史文化展览馆,0
0%,,,干元画廊,0
0%,,,泰一画廊,0
0%,,,熊猫美术馆,0
0%,,,博象美术馆,0
0%,,,古剑山美术馆,0
0%,,,星汇当代美术馆GCA,0
0%,,,谷居美术馆,0
0%,,,晏济元美术馆,0
0%,1小时 - 2小时,,exploring Blue深蓝：山海灵境沉浸式游乐场,0
0%,1小时 - 2小时,,二厂记忆博物馆,0
0%,0.5小时 - 1小时,,人和门及古城墙,0
0%,1小时 - 2小时,,夏家大院,0
0%,1小时 - 2小时,,孙家花园,0
0%,1小时 - 2小时,,一德堂,0
0%,,,白象居,4.5
0%,,,土城,0
0%,1小时 - 3小时,,银河飞瀑,0
0%,2小时 - 3小时,,澄江镇,0.0
0%,0.5小时 - 1小时,,朝天飞梯,0
0%,2小时 - 3小时,,圣名萌宠动物园,0
0%,2小时 - 3小时,,马鞍山社区公园,0
0%,2小时 - 3小时,,米兰小镇,0
0%,1小时 - 2小时,,百岁坊,0
0%,1小时 - 2小时,,映月池,0
0%,1小时 - 2小时,,涂山窑,0
0%,0.5小时 - 2小时,,海关石,0
0%,1小时 - 2小时,,花朝门,0
0%,1小时 - 2小时,,青阳公馆,0
0%,0.5小时 - 1小时,,国民政府行政院,0
0%,0.5小时 - 1小时,,国民政府大楼,0
0%,1小时 - 2小时,,黑山谷神龙峡,0
0%,2小时 - 3小时,,北碚自然世界公园,0
0%,,,西河镇民兴村川主老街,0
0%,1小时 - 2小时,,龙吟艺术会馆,0
0%,3天 - 6天,,广阳岛,0
0%,0.5小时 - 1小时,,抗战胜利纪功碑,0
0%,1小时 - 2小时,,和美大院,0
0%,2小时 - 3小时,,大兴村,0
0%,1小时 - 2小时,,武隆和顺寺院坪风车观景台,5.0
0%,1小时 - 2小时,,大田湿地人家,0
0%,0.5小时 - 1小时,,东水门长江大桥,4.8
0%,,,反省院,0
0%,,,中国大足五金博物馆,0
0%,,,古书山道观,0
0%,2小时 - 3小时,,大磨滩湿地公园,0
0%,1小时 - 2小时,,魔名奇妙花园,0.0
0%,2小时 - 3小时,,洪崖洞重逢1980街区,4.4
0%,2小时 - 3小时,,重庆抗战戏剧博物馆,0
